epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
168,3406.27,0.66236,0.30465,0.0029,0.96905,0.95459,0.97883,0.82867,0.64503,0.27096,0.00319,0.000288974,0.000288974,0.000288974
169,3426.11,0.67301,0.30763,0.00297,0.97348,0.95008,0.97838,0.82765,0.65105,0.2684,0.00321,0.000280723,0.000280723,0.000280723
170,3446.27,0.65574,0.303,0.00294,0.97043,0.95324,0.97923,0.82375,0.65665,0.27159,0.00322,0.000272471,0.000272471,0.000272471
171,3466.38,0.66888,0.30351,0.00293,0.97379,0.95296,0.97968,0.82845,0.64448,0.2676,0.00318,0.00026422,0.00026422,0.00026422
172,3486.46,0.66434,0.3016,0.003,0.96988,0.9541,0.97958,0.82674,0.65223,0.27144,0.00319,0.000255968,0.000255968,0.000255968
173,3507,0.67351,0.30833,0.00296,0.96755,0.95685,0.97883,0.82624,0.65077,0.26999,0.0032,0.000247716,0.000247716,0.000247716
174,3526.91,0.65066,0.29357,0.0029,0.96881,0.95738,0.97902,0.82886,0.64289,0.26427,0.00315,0.000239465,0.000239465,0.000239465
175,3547.4,0.6708,0.30792,0.00295,0.96871,0.95519,0.97963,0.82758,0.64535,0.27328,0.00316,0.000231213,0.000231213,0.000231213
176,3567.8,0.6488,0.29509,0.00284,0.96896,0.95556,0.97971,0.82509,0.65513,0.27062,0.00323,0.000222961,0.000222961,0.000222961
177,3587.59,0.65869,0.30067,0.00297,0.97524,0.95309,0.97984,0.82533,0.6545,0.26969,0.00322,0.00021471,0.00021471,0.00021471
178,3607.77,0.65409,0.30121,0.00282,0.97213,0.95081,0.97931,0.82737,0.6497,0.26913,0.0032,0.000206458,0.000206458,0.000206458
179,3627.83,0.65673,0.29894,0.00282,0.9737,0.9551,0.97978,0.82826,0.6464,0.26766,0.00318,0.000198206,0.000198206,0.000198206
180,3647.7,0.65153,0.29717,0.00282,0.97011,0.95375,0.97999,0.82705,0.65163,0.27142,0.0032,0.000189955,0.000189955,0.000189955
181,3668.11,0.66007,0.30215,0.00287,0.97149,0.95355,0.9799,0.83021,0.63992,0.27415,0.00313,0.000181703,0.000181703,0.000181703
182,3688.12,0.65573,0.30476,0.00284,0.97138,0.95532,0.97964,0.83055,0.64121,0.27287,0.00314,0.000173451,0.000173451,0.000173451
