epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
93,16535.6,0.75635,0.3382,0.00346,0.97062,0.95471,0.98255,0.82831,0.64688,0.25274,0.00299,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
94,16705.5,0.76051,0.34036,0.0035,0.97197,0.95561,0.98239,0.82852,0.64656,0.2526,0.00298,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
95,16875,0.75552,0.33697,0.00348,0.97137,0.95529,0.98267,0.82939,0.64566,0.25254,0.00297,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
96,17044.7,0.7589,0.34224,0.00351,0.97063,0.95613,0.98267,0.83015,0.6444,0.25193,0.00297,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
97,17214.9,0.75353,0.33764,0.00353,0.97141,0.9554,0.9825,0.83017,0.64372,0.2521,0.00296,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
98,17385,0.7569,0.34478,0.00348,0.97104,0.9554,0.98253,0.83027,0.64271,0.25193,0.00296,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799
99,17554.2,0.75005,0.33972,0.00346,0.96962,0.95537,0.98254,0.83041,0.64151,0.25282,0.00295,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
100,17724.2,0.74647,0.3376,0.00345,0.96911,0.95629,0.98264,0.83109,0.63983,0.25223,0.00295,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
101,17893.7,0.74809,0.33702,0.00344,0.96699,0.95814,0.98279,0.83127,0.63889,0.2523,0.00294,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
102,18063.7,0.73984,0.33342,0.00343,0.9672,0.95752,0.98295,0.83136,0.63868,0.25209,0.00294,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667
103,18233.3,0.74438,0.33576,0.00345,0.96846,0.9567,0.98273,0.83138,0.6388,0.25148,0.00294,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
104,18402.4,0.74175,0.33266,0.00343,0.96798,0.95713,0.98274,0.83125,0.63872,0.25268,0.00294,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601
105,18573,0.74236,0.33041,0.00341,0.9676,0.95677,0.98267,0.83168,0.6388,0.25225,0.00294,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
106,18742.3,0.73723,0.33098,0.00341,0.96705,0.95724,0.98264,0.83244,0.63738,0.2523,0.00293,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
107,18911.8,0.7341,0.32906,0.00337,0.96745,0.95704,0.98265,0.83274,0.63657,0.25086,0.00292,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
108,19080.2,0.73345,0.32484,0.00339,0.96863,0.95545,0.98266,0.8334,0.63557,0.2514,0.00292,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469
109,19249.2,0.73493,0.33291,0.00342,0.96781,0.95787,0.98282,0.83307,0.63587,0.24948,0.00292,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
110,19420.1,0.73418,0.33029,0.00337,0.96774,0.95648,0.98275,0.83357,0.63441,0.25153,0.00291,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403
111,19588.4,0.7315,0.32948,0.0034,0.96748,0.95801,0.98274,0.83417,0.63324,0.25031,0.00291,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
112,19757.7,0.73184,0.3313,0.00341,0.96491,0.95971,0.98277,0.83397,0.63343,0.2503,0.00291,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
